kcc,spelling,weight,source
ក,kor,1.0,direct
កុំ,kom,1.0,direct
ក៏,kor,1.0,direct
ក្ដ,kdor,1.0,direct
ក្ដី,kdei,1.0,direct
ក្ដៅ,kdav,1.0,direct
ក្តៅ,kdav,1.0,direct
ក្រ,kro,0.5,direct
ក្រ,kror,0.5,direct
ក្រៅ,krav,1.0,direct
ខ,khor,1.0,direct
ខែ,khae,1.0,direct
ខោ,khao,0.5,direct
ខោ,khoa​,0.5,direct
ខ្ចី,kjei,0.5,direct
ខ្ចី,kjey,0.5,direct
ខ្ញុំ,knh,0.25,direct
ខ្ញុំ,nh,0.25,direct
ខ្ញុំ,nhom,0.25,direct
ខ្ញុំ,nhum,0.25,direct
ខ្មៅ,kmav,1.0,direct
ខ្លី,klei,1.0,direct
ខ្លះ,klas,1.0,direct
ខ្វះ,kvah,0.5,direct
ខ្វះ,kvas,0.5,direct
ខ្សោះ,ksos,1.0,direct
គឺ,ker,0.25,direct
គឺ,keu,0.25,direct
គឺ,kir,0.25,direct
គឺ,kue,0.25,direct
គេ,ke,1.0,direct
គោ,ko,1.0,direct
គ្នា,knea,1.0,direct
គ្រូ,kru,1.0,direct
គ្រែ,krae,1.0,direct
ចាំ,jam,1.0,direct
ចុះ,jos,1.0,direct
ចេះ,jes,1.0,direct
ចែ,jae,1.0,direct
ឆា,cha,1.0,direct
ឆ្កែ,chkae,1.0,direct
ឆ្នាំ,chnam,1.0,direct
ឆ្មា,chma,1.0,direct
ជា,jea,1.0,direct
ជិះ,jis,1.0,direct
ជុំ,jom,0.5,direct
ជុំ,jum,0.5,direct
ជុះ,jus,1.0,direct
ជឿ,jer,1.0,direct
ជ្រោះ,jrus,1.0,direct
ឈឺ,cheu,0.5,direct
ឈឺ,chue,0.5,direct
ឈ្លោះ,chlous,1.0,direct
ញ៉ាំ,nham,1.0,direct
ដុំ,dom,0.5,direct
ដុំ,dum,0.5,direct
ដៃ,dai,1.0,direct
ដោះ,dos,1.0,direct
ឌឺ,due,1.0,direct
ណា,na,0.5,direct
ណា,nah,0.5,direct
តា,ta,1.0,direct
តុ,tok,0.5,direct
តុ,tuk,0.5,direct
តួ,tur,1.0,direct
តេ,te,1.0,direct
តែ,tae,1.0,direct
តោះ,tos,1.0,direct
ត្រី,trei,0.5,direct
ត្រី,trey,0.5,direct
ថា,tha,1.0,direct
ថូ,tho,1.0,direct
ថែ,thae,1.0,direct
ថ្ងៃ,tgnai,1.0,direct
ថ្នាំ,tnam,1.0,direct
ថ្ម,tmor,1.0,direct
ថ្មី,tmey,1.0,direct
ថ្លៃ,tlai,1.0,direct
ទា,tea,1.0,direct
ទាំ,torm,1.0,direct
ទី,ti,1.0,direct
ទុំ,tom,0.5,direct
ទុំ,tum,0.5,direct
ទេ,te,0.5,direct
ទេ,teh,0.5,direct
ទៅ,tov,0.5,direct
ទៅ,tv,0.5,direct
ទះ,teas,1.0,direct
ធំ,thom,1.0,direct
ធ្វើ,tver,1.0,direct
នេះ,nis,1.0,direct
នោះ,nus,1.0,direct
នៅ,nov,0.5,direct
នៅ,nv,0.5,direct
បី,bei,1.0,direct
បើ,ber,1.0,direct
បោះ,bors,0.5,direct
បោះ,bos,0.5,direct
ប៉ា,pa,1.0,direct
ប៉ះ,pas,1.0,direct
ប្ដី,pdei,0.5,direct
ប្ដី,pdey,0.5,direct
ប្រាំ,bram,0.5,direct
ប្រាំ,pram,0.5,direct
ប្រូ,bro,1.0,direct
ប្រេី,brer,1.0,direct
ប្រែ,brae,0.5,direct
ប្រែ,prae,0.5,direct
ប្រៃ,prai,1.0,direct
ផ្កា,pka,1.0,direct
ផ្ញើ,phner,1.0,direct
ផ្តុំ,pdom,1.0,direct
ផ្ទៃ,ptei,1.0,direct
ផ្ទះ,pteas,0.5,direct
ផ្ទះ,teas,0.5,direct
