kcc,spelling,example_words
ក,,អ្នក (nek) | ពួកគេ (puk ke pouk) | អ្នកណា (nek nah na)
កា,,ធ្វើការ (tver ka) | កាហ្វេ (café) | ការងារ (ka ngea)
កុ,,កុហក (kohork khk)
កុំ,,កុំព្យូទ័រ (computer)
កូ,,កូន (kon)
កើ,,កើត (kert)
កៅ,,កៅអី (kav ey)
កំ,,កំពុង (kompong)
ក់,,អាក្រក់ (akk akkrok akrok) | ត្រជាក់ (trojek tjeak) | ម៉ាក់ (mak)
ក្តិ,,មិត្តភក្តិ (mit pheak)
ក្បា,,ក្បាល (kbal)
ក្មេ,,ក្មេង (kmeng)
ក្រ,,អាក្រក់ (akk akkrok akrok) | ក្រហម (krohom)
ក្រោ,,ខាងក្រោយ (khang kroy krouy)
ខ,,មុខ (muk mok) | ខាងមុខ (khang muk mok)
ខា,,ខាងឆ្វេង (khang chveng) | ខាងស្ដាំ (khang sdam) | ខាងមុខ (khang muk mok)
ខឹ,,ខឹង (khg)
ខុ,,ខុស (khos)
ខៀ,,ខៀវ (khiv)
ខេ,,អូខេ (okay)
ខ្ជិ,,ខ្ជិល (kjerl kjel)
ខ្ព,,ខ្ពស់ (kpus)
ខ្លា,,ខ្លាច (klach)
ខ្លាំ,,ខ្លាំង (klang klg)
ខ្លួ,,ខ្លួន (klun)
គា,,គាត់ (kort)
គិ,,គិត (kit)
គុ,,អរគុណ (orkun orkon)
គេ,,ពួកគេ (puk ke pouk)
គ្នា,,ដូចគ្នា (doch knea) | គ្រប់គ្នា (krob knea)
គ្រ,,គ្រប់គ្នា (krob knea)
គ្រា,,គ្រាន់តែ (kroun tae)
គ្រួ,,គ្រួសារ (krursa kursa)
ឃើ,,ឃើញ (kherng khernh)
ឃ្លា,,ឃ្លាន (klean)
ង,,យើង (yg yerng) | ដឹង (dg derng) | ចឹង (jg jhg jerng)
ងា,,ការងារ (ka ngea)
ងឹ,,ងងឹត (ngornget)
ង់,,ចង់ (jg jorng) | រង់ចាំ (rong jam) | បង់ (bong)
ង្គុ,,អង្គុយ (ongkuy)
ង្ឃឹ,,សង្ឃឹម (songkhrim)
ង្សា,,សង្សារ (ss songsa)
ច,,ម៉េច (mx mex mix) | ចង់ (jg jorng) | អាច (ach)
ចា,,ចាស (ja jah) | ចាយ (jay) | ចាស់ (jas)
ចិ,,ចូលចិត្ត (jol jit)
ចឹ,,ចឹង (jg jhg jerng)
ចូ,,ចូលចិត្ត (jol jit) | ចូល (jol)
ចេ,,ចេញ (jenh)
ច់,,សាច់ (sach)
ច្រើ,,ច្រើន (jrern)
ឆ្កួ,,ឆ្កួត (chkut chkout)
ឆ្ងា,,ឆ្ងាញ់ (chganh) | ឆ្ងាយ (chgnay)
ឆ្លើ,,ឆ្លើយ (chlery)
ឆ្វេ,,ខាងឆ្វេង (khang chveng)
ជា,,ត្រជាក់ (trojek tjeak) | ជាមួយ (jeamouy cheamouy jeamuy cheamuy) | ពិតជា (pit jea)
ជិ,,ជិត (jit)
ជី,,ជីតា (jita) | ជីដូន (jidon)
ជួ,,ជួយ (juy)
ជើ,,ជើង (jerng)
ជំ,,ជំរាបសួរ (jomreabsur jumreabsur jumreapsur)
ឈ,,ឈប់ (chob)
ញ,,ទិញ (tenh tinh) | ឃើញ (kherng khernh) | ម្សិលមិញ (msel minh)
ញ់,,ស្រឡាញ់ (sl srolanh) | ឆ្ងាញ់ (chganh)
ដ,,ដប់ (dob dop) | ដល់ (dol)
ដា,,ដាក់ (dak)
ដឹ,,ដឹង (dg derng)
ដូ,,ជីដូន (jidon) | បេះដូង (besdong bsd) | ដូច (doch)
ដើ,,ដើរ (der)
ដេ,,ដេក (dek)
ដែ,,ដែរ (dae)
ណ,,អរគុណ (orkun orkon)
ត,,ស្អាត (sart) | គិត (kit) | ឆ្កួត (chkut chkout)
តា,,ជីតា (jita)
តិ,,តិច (tix tic)
តូ,,តូច (toch tuch) | ម៉ូតូ (moto motor)
ត់,,គាត់ (kort) | រត់ (rut) | អត់ (ot ort)
ត្ត,,ចូលចិត្ត (jol jit) | មិត្តភក្តិ (mit pheak) | មិត្ត (mit)
ត្រ,,ត្រជាក់ (trojek tjeak) | ត្រឡប់ (trolob)
ត្រូ,,ត្រូវ (trov trv)
ថោ,,ថោក (thoak)
ទ,,បាទ (bart bat) | បិទ (bit) | ទទួល (ttul tutul)
ទា,,ទាប (teab teap)
ទាំ,,ទាំងអស់ (tang os teang)
ទិ,,ទិញ (tenh tinh)
ទី,,នាទី (neati)
ទឹ,,ទឹក (terk)
ទូ,,ទូរស័ព្ទ (tusab turasab)
ទួ,,ទទួល (ttul tutul)
ទៀ,,ទៀត (tt teat)
ទោ,,សុំទោស (somtos sumtos)
ទ័,,កុំព្យូទ័រ (computer)
ទ្វា,,ទ្វារ (tvea)
ធ្ង,,ធ្ងន់ (tgnun tgun)
ធ្លា,,ធ្លាក់ (tlek tleak)
ន,,ប៉ុន្មាន (punman) | មាន (mean) | រៀន (rean)
នា,,នាង (neang) | នាទី (neati)
និ,,និយាយ (niyey)
នឹ,,នឹង (ng nerng)
នុ,,មនុស្ស (mnus monus)
នឿ,,នឿយ (nery)
នំ,,នំបុ័ង (nompang)
ន់,,ពាន់ (porn poun) | គ្រាន់តែ (kroun tae) | ធ្ងន់ (tgnun tgun)
ន្តិ,,បន្តិច (bontech buntich)
